SiteID,Sitename2,Sitename3,WA_County,Lat,Long,LCC_E_km,LCC_N_km,AP3_XCell,AP3_YCell,AP4_XCell,AP4_YCell
410470041,Salem,,,44.9431,-123.005913,-152.893313,-433.8513002,16,44,48,128
410510080,Portland_SEL,,,45.496675,-122.6028813,-120.9887783,-375.1374647,19,49,56,142
410510087,Portland_Postal,,,45.5193,-122.6748,-126.3657791,-372.5983673,18,49,54,143
410510246,Portland_NR,,,45.5613,-122.6679,-125.7513268,-368.1020348,19,49,55,144
410590121,Pendleton,,,45.65212425,-118.8232315,163.8440823,-357.4354843,43,50,127,147
410591003,Hermiston_Airport,,,45.82889,-119.263306,130.3142182,-339.2753389,40,52,119,151
410610010,Starkey_IMPROVE,,,45.2249,-118.5129,188.61986,-402.5897981,45,46,133,135
410610119,La_Grande_OR,,,45.33902325,-118.0952,219.84067,-389.281708,47,48,141,139
410630001,Enterprise,,,45.426306,-117.2967,279.8009687,-377.4292876,52,49,156,142
410630002,Hells_Canyon_IMPROVE,,,44.9702,-116.8438,316.5309169,-424.6399361,55,45,165,130
410650007,The_Dalles,,,45.6024015,-121.2033655,-15.3226286,-364.9807756,28,50,82,145
410670004,Hillsboro,,,45.52853,-122.972443,-148.7947125,-371.0964016,17,49,49,143
410670111,Beaverton,,,45.4702,-122.815975,-137.1353904,-377.6350365,18,49,52,142
410671004,Sherwood,,,45.402,-122.854,-140.1759,-384.8876,17,48,51,140
490030003,Brigham_City,,,41.492802,-112.0187,724.6898286,-765.6637671,89,16,267,45
490050004,Logan,,,41.731201,-111.837502,736.3197744,-738.5398986,90,18,270,51
490110004,Bountiful,,,40.897999,-111.885498,742.6607408,-828.0228181,91,11,272,29
490131001,Fruitland,,,40.208801,-110.8405,836.765563,-891.3809614,99,6,295,13
490137011,Myton,,,40.2169,-110.182297,890.5393297,-883.415505,103,6,309,15
490352004,Beach,,,40.735001,-112.210999,718.1691733,-848.4259556,89,9,266,24
490353006,Hawthorne,,,40.733501,-111.871696,745.7947552,-845.4841331,91,10,272,25
490471003,VERNAL,,,40.452301,-109.509697,941.9138511,-850.6118042,107,9,321,23
490472003,Ouray,,,40.054848,-109.68737,933.4759303,-895.0681557,107,5,319,12
490477022,Whiterocks,,,40.483799,-109.906197,909.1544867,-851.8377293,105,9,313,23
490490002,North_Provo,,,40.253502,-111.6632,768.7665084,-894.8512194,93,5,278,12
490494001,Lindon,,,40.3414,-111.7136,763.5397655,-885.9308203,93,6,277,15
490570002,Ogden,,,,,,,,,,
530010003,Ritzville,Rtz,Adams,47.12815125,-118.3819088,191.8698902,-198.0532405,45,63,134,186
530030004,Clarkston,Clk,Asotin,46.42559125,-117.059781,292.4099177,-269.4347388,53,58,159,169
530050002,Kennewick,Knw,Benton,46.2183125,-119.2021633,133.9626684,-297.3807783,40,55,119,162
530070003,Chelan_Wapato,Cwa,Chelan,,,,,,,,
530070006,Wenatchee,Wen,Chelan,47.4122055,-120.3183083,49.70709204,-170.4687278,33,66,98,193
530070007,Chelan_Woodin,Cwo_Neph,Chelan,47.83861,-120.02306,70.67585657,-124.4370598,35,70,104,205
530070010,Leavenworth,Lev,Chelan,47.59881575,-120.6647005,24.36538283,-150.5821365,31,67,92,198
530070011,Wenatchee_5th,Wen5,Chelan,47.43061,-120.34195,47.96698975,-168.506178,33,66,98,194
530090005,Sequim,Sqm,Clallam,48.008465,-122.972863,-142.2643538,-104.8620057,17,71,50,210
530090009,Port_Angeles,PtA,Clallam,48.116773,-123.464486,-177.347224,-92.2444374,14,72,42,213
530090014,Neah_Bay_MAKA1_IMPROVE,NbI,Clallam_Makah_Tribe,48.368979,-124.6026175,-257.9823,-62.05778,8,75,22,220
530090015,Neah_Bay,NhB,Clallam_Makah_Tribe,48.366058,-124.6100458,-258.5280706,-62.34753227,7,75,21,220
530090013,Cheeka_Peak_MAKA2_IMPROVE,ChP,Clallam,48.29795,-124.624321,-259.881,-69.61578,7,74,21,219
530090016,ONP_Deer_Park,,,47.94919167,-123.2652922,-163.5265561,-110.6713636,15,71,45,208
530090020,Olympic_IMPROVE,,Clallam,48.0065,-122.9727,-142.2578053,-105.0734136,17,71,50,210
530091004,ONP_Hurricane_Ridge,,,47.9706,-123.5028,-180.5944983,-107.8612368,14,71,41,209
